school_name,category,value
RON MCDONALD HOUSE,aa_pct,0
VOA PHOENIX,aa_pct,0.5252525252525253
Total,aa_pct,0.3805026094849104
ARMATAGE,as_num,31
BANCROFT,as_num,23
BETHUNE,as_num,8
BRYN MAWR,as_num,89
BURROUGHS,as_num,47
CITYVIEW COMMUNITY,as_num,13
DOWLING,as_num,15
EMERSON SILC,as_num,5
FAIR ELEMENTARY,as_num,0
GREEN,as_num,5
HALE,as_num,35
HALL,as_num,2
HIAWATHA,as_num,8
HOWE,as_num,8
KENNY,as_num,26
KENWOOD,as_num,35
LAKE HARRIET LOWER,as_num,42
LIND,as_num,48
LK NOKOMIS WENONAH,as_num,9
LORING,as_num,47
LUCY LANEY @ CLVLND,as_num,7
LYNDALE,as_num,10
NELLIE STONE JOHNSON,as_num,8
NORTHROP,as_num,19
PILLSBURY,as_num,6
PRATT,as_num,9
SHERIDAN,as_num,12
WAITE PARK,as_num,14
WEBSTER COMMUNITY,as_num,31
WHITTIER,as_num,17
WINDOM,as_num,9
ANDERSEN UNITED,as_num,11
ANISHINABE ACAD,as_num,1
BARTON,as_num,30
FIELD,as_num,21
FOLWELL FINE ARTS,as_num,11
HMONG INTERNATIONAL,as_num,242
JEFFERSON,as_num,18
LAKE HARRIET UPPER,as_num,38
LK NOKOMIS KEEWAYDIN,as_num,19
MARCY OPEN,as_num,31
SEWARD,as_num,37
SULLIVAN,as_num,5
ANTHONY,as_num,29
ANWATIN NEW,as_num,41
FRANKLIN,as_num,8
JUSTICE PAGE,as_num,28
NORTHEAST,as_num,33
OLSON MIDDLE,as_num,36
SANFORD,as_num,39
EDISON HIGH,as_num,52
FAIR HIGH SCHOOL,as_num,4
HENRY HIGH,as_num,355
HERITAGE,as_num,0
NORTH HIGH,as_num,9
ROOSEVELT HIGH,as_num,35
SOUTH HIGH,as_num,79
SOUTHWEST HIGH,as_num,97
WASHBURN HIGH,as_num,80
MACC,as_num,1
LONGFELLOW,as_num,1
WELLSTONE,as_num,3
WELLSTONE SWS,as_num,1
HARRISON SEC CTR,as_num,0
RIVER BEND ED CNT,as_num,1
TRANSITION PLUS,as_num,13
AMERICAN IND OIC,as_num,0
CENTER SCHOOL,as_num,0
LORING-NICOLLET,as_num,4
MENLO PARK,as_num,2
MERC,as_num,0
PLYMOUTH YTH CTR,as_num,7
RON MCDONALD HOUSE,as_num,0
VOA PHOENIX,as_num,1
Total,as_num,2061
ARMATAGE,as_pct,0.051666666666666666
BANCROFT,as_pct,0.04364326375711575
BETHUNE,as_pct,0.02631578947368421
BRYN MAWR,as_pct,0.25501432664756446
BURROUGHS,as_pct,0.06135770234986945
CITYVIEW COMMUNITY,as_pct,0.04180064308681672
DOWLING,as_pct,0.03006012024048096
EMERSON SILC,as_pct,0.010080645161290322
FAIR ELEMENTARY,as_pct,0
GREEN,as_pct,0.015772870662460567
