school_name,category,value
KENNY,wh_num,331
KENWOOD,wh_num,262
LAKE HARRIET LOWER,wh_num,427
LIND,wh_num,30
LK NOKOMIS WENONAH,wh_num,191
LORING,wh_num,127
LUCY LANEY @ CLVLND,wh_num,14
LYNDALE,wh_num,190
NELLIE STONE JOHNSON,wh_num,19
NORTHROP,wh_num,375
PILLSBURY,wh_num,61
PRATT,wh_num,85
SHERIDAN,wh_num,41
WAITE PARK,wh_num,231
WEBSTER COMMUNITY,wh_num,122
WHITTIER,wh_num,106
WINDOM,wh_num,279
ANDERSEN UNITED,wh_num,35
ANISHINABE ACAD,wh_num,6
BARTON,wh_num,353
FIELD,wh_num,385
FOLWELL FINE ARTS,wh_num,96
HMONG INTERNATIONAL,wh_num,9
JEFFERSON,wh_num,19
LAKE HARRIET UPPER,wh_num,547
LK NOKOMIS KEEWAYDIN,wh_num,271
MARCY OPEN,wh_num,309
SEWARD,wh_num,328
SULLIVAN,wh_num,21
ANTHONY,wh_num,429
ANWATIN NEW,wh_num,89
FRANKLIN,wh_num,12
JUSTICE PAGE,wh_num,445
NORTHEAST,wh_num,116
OLSON,wh_num,48
SANFORD,wh_num,403
EDISON HIGH,wh_num,184
FAIR HIGH SCHOOL,wh_num,72
HENRY HIGH,wh_num,70
HERITAGE,wh_num,1
NORTH ACADEMY,wh_num,10
ROOSEVELT HIGH,wh_num,231
SOUTH HIGH,wh_num,589
SOUTHWEST HIGH,wh_num,1057
WASHBURN HIGH,wh_num,916
LONGFELLOW,wh_num,1
MACC,wh_num,1
WELLSTONE,wh_num,4
WELLSTONE SWS,wh_num,0
HARRISON SEC CTR,wh_num,2
RIVER BEND ED CNT,wh_num,7
TRANSITION PLUS,wh_num,68
AMERICAN IND OIC,wh_num,1
CENTER SCHOOL,wh_num,0
LORING-NICOLLET,wh_num,26
MENLO PARK,wh_num,17
MERC,wh_num,12
PLYMOUTH YTH CTR,wh_num,3
RON MCDONALD HOUSE,wh_num,3
VOA PHOENIX,wh_num,9
Total,wh_num,12391
ARMATAGE,wh_pct,0.687603305785124
BANCROFT,wh_pct,0.2047713717693837
BETHUNE,wh_pct,0.08029197080291971
BRYN MAWR,wh_pct,0.10367892976588629
BURROUGHS,wh_pct,0.7662162162162162
CITYVIEW COMMUNITY,wh_pct,0.09774436090225563
DOWLING,wh_pct,0.5073375262054507
EMERSON SILC,wh_pct,0.13991769547325103
GREEN,wh_pct,0.058394160583941604
HALE,wh_pct,0.7534883720930232
HALL,wh_pct,0.06217616580310881
HIAWATHA,wh_pct,0.6854838709677419
HOWE,wh_pct,0.6071428571428571
KENNY,wh_pct,0.6881496881496881
KENWOOD,wh_pct,0.6533665835411472
LAKE HARRIET LOWER,wh_pct,0.8455445544554455
LIND,wh_pct,0.07672634271099744
LK NOKOMIS WENONAH,wh_pct,0.6749116607773852
LORING,wh_pct,0.31435643564356436
LUCY LANEY @ CLVLND,wh_pct,0.032036613272311214
LYNDALE,wh_pct,0.3838383838383838
NELLIE STONE JOHNSON,wh_pct,0.04896907216494845
NORTHROP,wh_pct,0.7606490872210954
PILLSBURY,wh_pct,0.18944099378881987
PRATT,wh_pct,0.3102189781021898
SHERIDAN,wh_pct,0.14855072463768115
WAITE PARK,wh_pct,0.5661764705882353
WEBSTER COMMUNITY,wh_pct,0.4404332129963899
WHITTIER,wh_pct,0.2003780718336484
WINDOM,wh_pct,0.48186528497409326
ANDERSEN UNITED,wh_pct,0.041469194312796206
ANISHINABE ACAD,wh_pct,0.027649769585253458
BARTON,wh_pct,0.5050071530758226
FIELD,wh_pct,0.7432432432432432
FOLWELL FINE ARTS,wh_pct,0.11793611793611794
HMONG INTERNATIONAL,wh_pct,0.01694915254237288
JEFFERSON,wh_pct,0.042316258351893093
LAKE HARRIET UPPER,wh_pct,0.862776025236593
LK NOKOMIS KEEWAYDIN,wh_pct,0.584051724137931
MARCY OPEN,wh_pct,0.4181326116373478
SEWARD,wh_pct,0.3877068557919622
SULLIVAN,wh_pct,0.04
ANTHONY,wh_pct,0.5485933503836317
ANWATIN NEW,wh_pct,0.1586452762923351
FRANKLIN,wh_pct,0.032432432432432434
JUSTICE PAGE,wh_pct,0.5260047281323877
NORTHEAST,wh_pct,0.23061630218687873
OLSON,wh_pct,0.12307692307692308
SANFORD,wh_pct,0.4154639175257732
EDISON HIGH,wh_pct,0.1823587710604559
FAIR HIGH SCHOOL,wh_pct,0.31718061674008813
HENRY HIGH,wh_pct,0.06610009442870633
