school_name,na_num,na_pct,aa_num,aa_pct,as_num,as_pct,hi_num,hi_pct,wh_num,wh_pct,tot,not_eligible_num,reduce_num,free_num,frpl_num,frpl_pct,hi_povnum,aa_povnum,wh_povnum,as_povnum,na_povnum,hi_povsch,aa_povsch,as_povsch,wh_povsch,na_povsch
SULLIVAN,27,0.05142857142857143,451,0.8590476190476191,5,0.009523809523809525,21,0.04,21,0.04,525,75,25,487,587,0.8722316865417377,21,451,21,5,27,0.003527040644944575,0.03510547209465245,0.0025,0.0016947784682430796,0.022613065326633167
ANTHONY,3,0.0038363171355498722,224,0.2864450127877238,33,0.04219948849104859,90,0.11508951406649616,429,0.5485933503836317,782,485,39,257,781,0.37900128040973113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANWATIN NEW,14,0.024955436720142603,219,0.39037433155080214,39,0.06951871657754011,199,0.35472370766488415,89,0.1586452762923351,561,185,52,318,555,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRANKLIN,16,0.043243243243243246,270,0.7297297297297297,6,0.016216216216216217,64,0.17297297297297298,12,0.032432432432432434,370,45,22,301,368,0.8777173913043478,64,270,12,6,16,0.010749076251259657,0.021016579746244258,0.003,9.684448389960455e-4,0.01340033500837521
JUSTICE PAGE,13,0.015366430260047281,199,0.23522458628841608,31,0.03664302600472813,155,0.18321513002364065,445,0.5260047281323877,846,487,49,308,844,0.42298578199052134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NORTHEAST,48,0.09542743538767395,219,0.43538767395626243,22,0.0437375745526839,98,0.19483101391650098,116,0.23061630218687873,503,134,38,330,502,0.7330677290836654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLSON,10,0.02564102564102564,252,0.6461538461538462,33,0.08461538461538462,47,0.12051282051282051,48,0.12307692307692308,390,72,31,284,387,0.813953488372093,47,252,48,33,10,0.007893852872018811,0.019615474429827976,0.0165,0.003873779355984182,0.008375209380234505
SANFORD,76,0.07835051546391752,268,0.27628865979381445,38,0.03917525773195876,184,0.18969072164948453,403,0.4154639175257732,970,420,81,469,970,0.5670103092783505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EDISON HIGH,38,0.03766105054509415,569,0.5639246778989098,51,0.05054509415262636,167,0.16551040634291378,184,0.1823587710604559,1009,252,74,679,1005,0.7492537313432835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAIR HIGH SCHOOL,5,0.022026431718061675,105,0.46255506607929514,7,0.030837004405286344,36,0.15859030837004406,72,0.31718061674008813,227,85,26,112,223,0.6188340807174888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
