student_id,course_id,total_points_possible,total_points_earned,percentage_earned,subject,semester,section,Gradebook_Item,Grade_Category,FinalGradeCEMS,Points_Possible,Points_Earned,Gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,TimeSpent,TimeSpent_hours,TimeSpent_std
87927,FrScA-S116-01,3045,2575,0.8456486042692939,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,69.6347032,10,10,F,3,5,3,3,4,5,4,4,4,3,3934.8498,65.58083,1.5757989659678173
87955,OcnA-T116-01,4910,3906,0.7955193482688391,OcnA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,83.44723618,443,304,M,4,3,3,4,4,3,4,4,3,4,2420.5994,40.34332333333334,0.45821357354090575
87970,OcnA-S116-01,4151,2830,0.681763430498675,OcnA,S116,01,ATTEMPTED,NA,86.69514238,10,NA,F,5,4,4,5,4,5,3,4,3,5,3123.3502,52.055836666666664,0.976875499333579
87988,FrScA-S216-02,1924,651,0.33835758835758833,FrScA,S216,02,POINTS EARNED & TOTAL COURSE POINTS,NA,NA,10,9.25,F,5,4,3,5,5,5,5,5,4,4,7.8831,0.131385,-1.3224803545903372
88048,FrScA-S216-02,1632,1217,0.7457107843137255,FrScA,S216,02,POINTS EARNED & TOTAL COURSE POINTS,NA,93.00225734,5,5,F,4,3,2,4,4,3,3,4,3,3,2269.133,37.81888333333333,0.34642450874456043
88050,AnPhA-S116-01,5814,3566,0.6133470932232542,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,71.6757328,30,NA,F,4,4,3,5,4,4,4,4,4,5,2130.6666,35.51111,0.24423003286267098
88068,AnPhA-S116-01,1536,1329,0.865234375,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,70.6074672,10,10,F,5,4,5,5,4,4,3,4,3,4,535.8334,8.930556666666666,-0.9328291164546856
88075,FrScA-S116-04,2249,1747,0.7767896843041352,FrScA,S116,04,POINTS EARNED & TOTAL COURSE POINTS,NA,83.17123288,5,NA,F,3,5,3,4,3,4,3,4,4,4,4323.8332,72.06388666666666,1.8628863365483728
88091,PhysA-S116-01,4792,3626,0.756677796327212,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,97.72222222,20,20,M,4,2,2,4,3,3,3,4,2,3,262.5502,4.375836666666667,-1.1345244980875266
88099,AnPhA-S116-01,4162,3012,0.7236905333974051,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,81.9629328,5,4,M,4,3,2,4,4,3,4,4,3,4,2615.4998,43.59166333333334,0.6020588979457479
88153,AnPhA-S116-01,4640,4094,0.8823275862068966,AnPhA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,88.7024,10,8,F,5,4,4,5,5,5,5,4,4,5,6954.6997,115.91166166666667,3.8045849947262504
88166,OcnA-S116-02,6592,5636,0.8549757281553398,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,84.92127303,5,10,F,4,4,3,4,4,4,4,4,3,4,2137.7164,35.62860666666666,0.24943310462644994
88168,OcnA-S116-02,3523,2108,0.5983536758444508,OcnA,S116,02,POINTS EARNED & TOTAL COURSE POINTS,NA,95.96314908,10,10,M,4,4,4,5,4,4,4,4,4,5,2885.7832,48.09638666666667,0.801540291284313
88261,FrScA-S116-01,2419,1624,0.6713517982637454,FrScA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,98.63013699,37,37,M,5,4,3,5,5,4,4,5,4,5,1269.6667,21.161111666666667,-0.39122689759019963
88282,OcnA-T116-01,3935,2787,0.7082592121982211,OcnA,T116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,92.12060302,30,22.88,F,4,2,3,4,4,3,4,4,3,2,2373.7169,39.56194833333333,0.42361216471152396
88296,PhysA-S116-01,4974,3802,0.7643747486932047,PhysA,S116,01,POINTS EARNED & TOTAL COURSE POINTS,NA,58.53472222,10,10,F,5,4,5,5,5,5,5,5,5,5,1190.5998,19.843329999999998,-0.4495818516086892
